fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	iteracion_bayesiana	ganancia
20210928 222414	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	173	TRUE	0.0565862122280803	0.234931204595906	5896	112	0.053373804364698	91	13113750
20210928 222550	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	213	TRUE	0.0318020155210793	0.291562323500263	7323	1013	0.0433650448668317	92	13340000
20210928 222708	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	180	TRUE	0.0295617850234359	0.167968564647692	2569	555	0.0546228334224748	93	12608750
20210928 222920	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	249	TRUE	0.0229945432740543	0.32869001429528	2439	884	0.0547551718566101	94	12840000
20210928 223101	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	201	TRUE	0.0314499954024982	0.354099100452405	6896	677	0.0412927821140294	95	13368750
20210928 223209	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	126	TRUE	0.0516870866470598	0.265856016561785	4411	277	0.0497116528444691	96	13095000
20210928 223318	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	119	TRUE	0.0586135855474044	0.323462868424109	4223	1014	0.0527091003270773	97	1.3e+07
20210928 223440	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	153	TRUE	0.0484636911894847	0.347288326894259	5234	479	0.0512546179570467	98	13312500
20210928 223613	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	180	TRUE	0.0265553195306286	0.239355606454215	2054	541	0.0478398017044947	99	13173750
20210928 223712	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	121	TRUE	0.0471589809254557	0.210373473950918	6253	969	0.040503901048596	100	13336250
20210928 223901	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	218	TRUE	0.0421665552771557	0.346296364472574	3828	204	0.0469180640759226	101	13342500
20210928 224041	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	189	TRUE	0.034159894194752	0.366839624157385	5422	218	0.0475924757132516	102	12801250
20210928 224143	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	100	TRUE	0.0360446098182723	0.253498378619761	3177	902	0.0422103886018845	103	13497500
20210928 224258	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	114	TRUE	0.0588600091529358	0.385501649530279	2957	635	0.0544511524371419	104	13015000
20210928 224456	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	259	TRUE	0.0464550481401756	0.366449082163465	6886	272	0.0535648579956777	105	12678750
20210928 224645	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	193	TRUE	0.0269913976774924	0.337433331350889	2679	949	0.053705447848842	106	13392500
20210928 224838	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	265	TRUE	0.0258890183379035	0.185415837448556	1569	906	0.0473416736666148	107	13613750
20210928 224959	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	264	TRUE	0.0486666739905346	0.110381965078483	3247	779	0.0507886655895587	108	12993750
20210928 225117	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	106	TRUE	0.0445461344178021	0.394774156720168	1955	478	0.0511820153958921	109	13065000
20210928 225212	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	81	TRUE	0.0511679051764775	0.270767238682462	2517	456	0.042321318284882	110	13566250
20210928 225357	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	308	TRUE	0.0220050098720752	0.126742516013049	3015	565	0.0469081271189358	111	13482500
20210928 225538	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	258	TRUE	0.0336671853881143	0.192609191768756	3438	357	0.050756519983639	112	13481250
20210928 225638	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	112	TRUE	0.0484355777962506	0.255719808665663	6066	956	0.0420678605140117	113	13041250
20210928 225823	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	142	TRUE	0.025846552360421	0.392478772837203	1261	645	0.0529523672021728	114	12516250
20210928 225924	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	85	TRUE	0.053187012525443	0.3324725433724	2826	549	0.0530326051276096	115	13515000
20210928 230035	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	161	TRUE	0.0443918304806482	0.170205569973099	2093	984	0.0480201657376636	116	13295000
20210928 230303	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	323	TRUE	0.0213818630058877	0.305213305415213	3821	836	0.0402888238742948	117	13678750
20210928 230418	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	138	TRUE	0.035234930338515	0.32994869996584	7368	697	0.0502457514439931	118	12607500
20210928 230521	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	184	TRUE	0.0488252597510349	0.127071242089453	6206	232	0.0488964398579462	119	13207500
20210928 230745	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	318	TRUE	0.021007126251841	0.311644296615361	4963	762	0.0548215594680083	120	13292500
